"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4195","test_login_ui","stellarburgerPW.tests","2026-01-06","passed","2026-01-06","","test_login","",""
"","10009","test_login_ui","stellarburgerPW.tests","2026-01-06","passed","2026-01-06","","test_full","",""
"","10610","test_register_ui","stellarburgerPW.tests","2026-01-06","passed","2026-01-06","","test_registration","",""
"","5139","test_drag_and_drop","stellarburgerPW.tests","2026-01-06","passed","2026-01-06","","test_drag_and_drop","",""
